"","Participant","Condition","Type","Age","Sex","av_Learn_RT","av_Learn_Corr","av_NF_RT","av_NF_Corr"
"1","57533f7c483c14000662f391","Late","Exception",36,"Male",1.35822222222222,0.444444444444444,0.919333333333333,0.4
"2","57533f7c483c14000662f391","Late","Prototype",36,"Male",1.27241428571429,0.914285714285714,0.958125,0.8125
"3","57533f7c483c14000662f391","Late","RuleFollowing",36,"Male",1.38047222222222,0.722222222222222,1.0186875,0.625
"4","580241d0279ffd000124e3e3","Late","Exception",34,"Female",0.942294117647059,0.647058823529412,0.9773125,0.8125
"5","580241d0279ffd000124e3e3","Late","Prototype",34,"Female",0.827450704225352,0.929577464788732,0.9200625,1
"6","580241d0279ffd000124e3e3","Late","RuleFollowing",34,"Female",1.00585714285714,0.6,0.97825,0.8125
"7","5b8133ba0d65aa00014d5e1f","Early","Exception",25,"Female",0.799305555555555,0.527777777777778,0.7949375,0.5
"8","5b8133ba0d65aa00014d5e1f","Early","Prototype",25,"Female",0.752527777777778,0.791666666666667,0.7946875,0.75
"9","5b8133ba0d65aa00014d5e1f","Early","RuleFollowing",25,"Female",0.797333333333333,0.666666666666667,0.7475,0.75
"10","5be330d151ed78000195cdcd","Early","Exception",20,"Male",0.922971428571429,0.485714285714286,0.558,0.5
"11","5be330d151ed78000195cdcd","Early","Prototype",20,"Male",0.963492753623188,0.826086956521739,0.5761875,0.9375
"12","5be330d151ed78000195cdcd","Early","RuleFollowing",20,"Male",0.964852941176471,0.676470588235294,0.5963125,0.75
"13","5c6060d4f5a00b0001001155","Late","Exception",24,"Male",1.00975,0.555555555555556,0.765375,0.5
"14","5c6060d4f5a00b0001001155","Late","Prototype",24,"Male",0.85987323943662,0.887323943661972,0.7061875,1
"15","5c6060d4f5a00b0001001155","Late","RuleFollowing",24,"Male",0.925485714285714,0.628571428571429,0.7941875,0.875
"16","5c66bbd0d0fb37000172fdfe","Late","Exception",20,"Male",1.30842857142857,0.628571428571429,1.281,0.8125
"17","5c66bbd0d0fb37000172fdfe","Late","Prototype",20,"Male",1.08095774647887,0.901408450704225,1.0665,1
"18","5c66bbd0d0fb37000172fdfe","Late","RuleFollowing",20,"Male",1.07594444444444,0.666666666666667,1.20733333333333,0.666666666666667
"19","5c81b804b5bfcb00015aee82","Early","Exception",25,"Female",0.795285714285714,0.428571428571429,0.98925,0.25
"20","5c81b804b5bfcb00015aee82","Early","Prototype",25,"Female",0.876852941176471,0.676470588235294,1.0374375,0.875
"21","5c81b804b5bfcb00015aee82","Early","RuleFollowing",25,"Female",0.809638888888889,0.416666666666667,0.983375,0.625
"22","5c914d02bb61a00001d88ec8","Early","Exception",22,"Male",1.08963888888889,0.638888888888889,1.1229375,0.8125
"23","5c914d02bb61a00001d88ec8","Early","Prototype",22,"Male",1.08413432835821,0.865671641791045,0.900066666666667,0.933333333333333
"24","5c914d02bb61a00001d88ec8","Early","RuleFollowing",22,"Male",1.15002941176471,0.882352941176471,0.976533333333333,1
"25","5c9bb365008a6100015f9c1c","Early","Exception",36,"Female",1.02680555555556,0.638888888888889,0.8470625,1
"26","5c9bb365008a6100015f9c1c","Early","Prototype",36,"Female",1.0372,0.671428571428571,0.80775,0.875
"27","5c9bb365008a6100015f9c1c","Early","RuleFollowing",36,"Female",0.9082,0.428571428571429,0.92075,0.4375
"28","5ca238f0fd2f4e00184ec34c","Early","Exception",29,"Female",1.01308571428571,0.4,1.32266666666667,0.666666666666667
"29","5ca238f0fd2f4e00184ec34c","Early","Prototype",29,"Female",0.971013888888889,0.944444444444444,1.03375,1
"30","5ca238f0fd2f4e00184ec34c","Early","RuleFollowing",29,"Female",1.1014,0.857142857142857,1.2950625,0.875
"31","5ca8fa4b98b35f0001f75fa2","Late","Exception",26,"Female",0.824472222222222,0.444444444444444,1.08575,0.6875
"32","5ca8fa4b98b35f0001f75fa2","Late","Prototype",26,"Female",0.702408450704225,0.901408450704225,1.09271428571429,0.857142857142857
"33","5ca8fa4b98b35f0001f75fa2","Late","RuleFollowing",26,"Female",0.675666666666667,0.694444444444444,0.798125,0.625
"34","5cdf30a555fe0d000169c65f","Early","Exception",31,"Female",0.864277777777778,0.305555555555556,0.707125,0.4375
"35","5cdf30a555fe0d000169c65f","Early","Prototype",31,"Female",0.838657142857143,0.814285714285714,0.72375,1
"36","5cdf30a555fe0d000169c65f","Early","RuleFollowing",31,"Female",0.756742857142857,0.542857142857143,0.76125,0.6875
"37","5ce2c3569ab6de0016fac0f3","Early","Exception",32,"Female",0.741166666666667,0.361111111111111,0.6875625,0.375
"38","5ce2c3569ab6de0016fac0f3","Early","Prototype",32,"Female",0.804816901408451,0.887323943661972,0.751375,1
"39","5ce2c3569ab6de0016fac0f3","Early","RuleFollowing",32,"Female",0.832694444444444,0.694444444444444,0.8656875,0.6875
"40","5cf8c9c72f5b7d00198c3d2a","Early","Exception",20,"Female",0.881909090909091,0.363636363636364,0.965,0.8
"41","5cf8c9c72f5b7d00198c3d2a","Early","Prototype",20,"Female",0.797363636363636,0.545454545454545,1.14293333333333,0.266666666666667
"42","5cf8c9c72f5b7d00198c3d2a","Early","RuleFollowing",20,"Female",0.966333333333333,0.416666666666667,0.9346875,0.5625
"43","5d44cb2385d859001a75bdea","Late","Exception",21,"Male",0.749027777777778,0.472222222222222,0.8284375,0.3125
"44","5d44cb2385d859001a75bdea","Late","Prototype",21,"Male",0.767072463768116,0.869565217391304,0.70975,1
"45","5d44cb2385d859001a75bdea","Late","RuleFollowing",21,"Male",0.799714285714286,0.657142857142857,0.962384615384615,0.692307692307692
"46","5d4602322f66d0001a1208c7","Early","Exception",33,"Male",0.562194444444444,0.472222222222222,0.5765625,0.5625
"47","5d4602322f66d0001a1208c7","Early","Prototype",33,"Male",0.591333333333333,0.930555555555556,0.534,1
"48","5d4602322f66d0001a1208c7","Early","RuleFollowing",33,"Male",0.584527777777778,0.805555555555556,0.5381875,0.8125
"49","5d72717ae65f070001e16d53","Early","Exception",19,"Female",0.985138888888889,0.277777777777778,0.791875,0.125
"50","5d72717ae65f070001e16d53","Early","Prototype",19,"Female",0.893582089552239,0.805970149253731,0.8461875,0.875
"51","5d72717ae65f070001e16d53","Early","RuleFollowing",19,"Female",0.984055555555556,0.611111111111111,0.734375,0.3125
"52","5d81611eb54787000140f73a","Early","Exception",32,"Male",1.05130303030303,0.333333333333333,0.8351875,0.125
"53","5d81611eb54787000140f73a","Early","Prototype",32,"Male",1.15634848484848,0.727272727272727,0.982466666666667,0.933333333333333
"54","5d81611eb54787000140f73a","Early","RuleFollowing",32,"Male",0.983903225806452,0.548387096774194,1.01826666666667,0.333333333333333
"55","5da04f6ffdc54900154c18f4","Early","Exception",27,"Female",0.847485714285714,0.457142857142857,0.55525,0.5
"56","5da04f6ffdc54900154c18f4","Early","Prototype",27,"Female",0.863028169014085,0.76056338028169,0.5545625,1
"57","5da04f6ffdc54900154c18f4","Early","RuleFollowing",27,"Female",0.790542857142857,0.685714285714286,0.5388125,0.75
"58","5dab88520d558700163716ed","Late","Exception",23,NA,0.60425,0.416666666666667,0.76125,0.4375
"59","5dab88520d558700163716ed","Late","Prototype",23,NA,0.683014084507042,0.901408450704225,0.6255,1
"60","5dab88520d558700163716ed","Late","RuleFollowing",23,NA,0.605027777777778,0.666666666666667,0.6695,0.8125
"61","5db974ac2f6766000d3fd03e","Late","Exception",31,"Male",0.886083333333333,0.472222222222222,1.055625,0.75
"62","5db974ac2f6766000d3fd03e","Late","Prototype",31,"Male",0.898957746478873,0.929577464788732,0.9233125,1
"63","5db974ac2f6766000d3fd03e","Late","RuleFollowing",31,"Male",0.947694444444444,0.527777777777778,0.948875,0.9375
"64","5dcc8459bfb31a920381996e","Late","Exception",21,"Male",0.831472222222222,0.25,0.558466666666667,0.466666666666667
"65","5dcc8459bfb31a920381996e","Late","Prototype",21,"Male",0.783375,0.902777777777778,0.6926875,0.9375
"66","5dcc8459bfb31a920381996e","Late","RuleFollowing",21,"Male",0.843833333333333,0.75,0.66125,0.625
"67","5dcdb097ce4430025111b592","Late","Exception",22,"Male",0.695222222222222,0.361111111111111,0.491875,0.625
"68","5dcdb097ce4430025111b592","Late","Prototype",22,"Male",0.751840579710145,0.956521739130435,0.5604375,1
"69","5dcdb097ce4430025111b592","Late","RuleFollowing",22,"Male",0.74630303030303,0.575757575757576,0.539,0.6875
"70","5def63ad2ae0425e87244bff","Late","Exception",27,"Male",0.845027777777778,0.472222222222222,0.7416875,0.5
"71","5def63ad2ae0425e87244bff","Late","Prototype",27,"Male",0.764461538461538,0.8,0.7186875,1
"72","5def63ad2ae0425e87244bff","Late","RuleFollowing",27,"Male",0.747515151515151,0.424242424242424,0.6941875,0.6875
"73","5e10b8aa67f17079770dc73f","Early","Exception",20,"Male",0.72725,0.4375,0.59525,0.5625
"74","5e10b8aa67f17079770dc73f","Early","Prototype",20,"Male",0.692174603174603,0.682539682539683,0.6585,0.9375
"75","5e10b8aa67f17079770dc73f","Early","RuleFollowing",20,"Male",0.741,0.517241379310345,0.6022,0.8
"76","5e15559418e869b51cbe4246","Early","Exception",30,"Female",0.755857142857143,0.171428571428571,0.60575,0.4375
"77","5e15559418e869b51cbe4246","Early","Prototype",30,"Female",0.767225352112676,0.830985915492958,0.6918125,0.5625
"78","5e15559418e869b51cbe4246","Early","RuleFollowing",30,"Female",0.787171428571429,0.514285714285714,0.7319375,0.5
"79","5e15e7a61d4607bd245169d9","Late","Exception",26,"Male",0.666352941176471,0.176470588235294,0.5663125,0.4375
"80","5e15e7a61d4607bd245169d9","Late","Prototype",26,"Male",0.699605633802817,0.859154929577465,0.5696875,1
"81","5e15e7a61d4607bd245169d9","Late","RuleFollowing",26,"Male",0.695777777777778,0.527777777777778,0.619125,0.625
"82","5e1897e94962671632a70c3e","Early","Exception",23,"Male",0.573305555555556,0.416666666666667,0.5111875,0.5
"83","5e1897e94962671632a70c3e","Early","Prototype",23,"Male",0.557527777777778,1,0.493875,0.9375
"84","5e1897e94962671632a70c3e","Early","RuleFollowing",23,"Male",0.628527777777778,0.777777777777778,0.447125,0.6875
"85","5e370958fbc3bf68f59c8998","Early","Exception",28,"Female",1.2354375,0.53125,0.915933333333333,0.533333333333333
"86","5e370958fbc3bf68f59c8998","Early","Prototype",28,"Female",1.22273333333333,0.866666666666667,0.914375,1
"87","5e370958fbc3bf68f59c8998","Early","RuleFollowing",28,"Female",1.1191724137931,0.724137931034483,1.07206666666667,0.6
"88","5e4d7cc649ce3604356ac4d5","Late","Exception",20,"Male",0.818361111111111,0.361111111111111,0.65675,0.25
"89","5e4d7cc649ce3604356ac4d5","Late","Prototype",20,"Male",0.820222222222222,0.916666666666667,0.6595,1
"90","5e4d7cc649ce3604356ac4d5","Late","RuleFollowing",20,"Male",0.841027777777778,0.527777777777778,0.7651875,0.6875
"91","5e5256fd2d48ca25d9ee7576","Early","Exception",29,"Male",0.995638888888889,0.472222222222222,1.125375,0.25
"92","5e5256fd2d48ca25d9ee7576","Early","Prototype",29,"Male",0.900380281690141,0.788732394366197,0.758875,1
"93","5e5256fd2d48ca25d9ee7576","Early","RuleFollowing",29,"Male",0.954171428571429,0.6,0.886625,0.625
"94","5e76ca9681ea06243ff82c46","Late","Exception",27,"Male",0.551966666666667,0.8,0.5009375,0.625
"95","5e76ca9681ea06243ff82c46","Late","Prototype",27,"Male",0.611769230769231,0.507692307692308,0.690625,0.6875
"96","5e76ca9681ea06243ff82c46","Late","RuleFollowing",27,"Male",0.752055555555556,0.5,0.5506875,0.625
"97","5e79197339dc940a613b384d","Late","Exception",21,"Male",0.868029411764706,0.588235294117647,0.9831875,0.6875
"98","5e79197339dc940a613b384d","Late","Prototype",21,"Male",0.797086956521739,0.768115942028985,0.87125,1
"99","5e79197339dc940a613b384d","Late","RuleFollowing",21,"Male",0.600314285714286,0.542857142857143,0.9552,0.8
"100","5e7b6c8c669042176859d4c4","Early","Exception",19,"Male",1.01052777777778,0.444444444444444,0.282846153846154,0.307692307692308
"101","5e7b6c8c669042176859d4c4","Early","Prototype",19,"Male",0.890985507246377,0.753623188405797,0.314923076923077,0.615384615384615
"102","5e7b6c8c669042176859d4c4","Early","RuleFollowing",19,"Male",0.830323529411765,0.558823529411765,0.286538461538462,0.461538461538462
"103","5e80c717770c43000b151225","Early","Exception",23,"Female",0.8254,0.314285714285714,0.8058,0.466666666666667
"104","5e80c717770c43000b151225","Early","Prototype",23,"Female",0.861710144927536,0.898550724637681,0.740066666666667,0.8
"105","5e80c717770c43000b151225","Early","RuleFollowing",23,"Female",0.839888888888889,0.722222222222222,0.8785,0.4375
"106","5e82574c92f2f398c4d3fce0","Late","Exception",23,"Male",1.0453125,0.5,0.6923125,0.5625
"107","5e82574c92f2f398c4d3fce0","Late","Prototype",23,"Male",0.91680303030303,0.666666666666667,0.8046875,0.875
"108","5e82574c92f2f398c4d3fce0","Late","RuleFollowing",23,"Male",0.837147058823529,0.5,0.7145,0.5625
"109","5e851959390e520ec806b09c","Early","Exception",22,"Female",1.11847222222222,0.611111111111111,1.323875,0.875
"110","5e851959390e520ec806b09c","Early","Prototype",22,"Female",1.17336231884058,0.739130434782609,1.30053333333333,0.8
"111","5e851959390e520ec806b09c","Early","RuleFollowing",22,"Female",1.08014705882353,0.705882352941177,1.12875,0.6875
"112","5e87b396c66acc42ce30ca6d","Late","Exception",20,"Female",0.614147058823529,0.5,0.719333333333333,0.4
"113","5e87b396c66acc42ce30ca6d","Late","Prototype",20,"Female",0.701579710144927,0.608695652173913,0.7751875,0.5
"114","5e87b396c66acc42ce30ca6d","Late","RuleFollowing",20,"Female",0.769333333333333,0.583333333333333,0.773375,0.5
"115","5e8b928f193f3c075dfcdc68","Late","Exception",25,"Male",0.637,0.25,0.59125,0.5
"116","5e8b928f193f3c075dfcdc68","Late","Prototype",25,"Male",0.606371428571429,0.942857142857143,0.5120625,1
"117","5e8b928f193f3c075dfcdc68","Late","RuleFollowing",25,"Male",0.658057142857143,0.685714285714286,0.5679375,0.6875
"118","5e8f8e47621d9b280bf9cb7e","Early","Exception",31,"Female",0.645558823529412,0.441176470588235,0.4848125,0.5
"119","5e8f8e47621d9b280bf9cb7e","Early","Prototype",31,"Female",0.827638888888889,0.888888888888889,0.4556,1
"120","5e8f8e47621d9b280bf9cb7e","Early","RuleFollowing",31,"Female",0.712235294117647,0.735294117647059,0.5003125,0.8125
"121","5e8fc651d1aa0d2ba33717c9","Early","Exception",27,"Male",0.41940625,0.5,0.730266666666667,0.266666666666667
"122","5e8fc651d1aa0d2ba33717c9","Early","Prototype",27,"Male",0.498645161290323,0.693548387096774,0.7178125,1
"123","5e8fc651d1aa0d2ba33717c9","Early","RuleFollowing",27,"Male",0.444606060606061,0.636363636363636,0.7633125,0.625
"124","5e925aeb457c6e09281bf572","Late","Exception",20,"Male",0.646638888888889,0.5,0.496625,0.5
"125","5e925aeb457c6e09281bf572","Late","Prototype",20,"Male",0.64012676056338,0.915492957746479,0.5276875,1
"126","5e925aeb457c6e09281bf572","Late","RuleFollowing",20,"Male",0.626861111111111,0.75,0.509625,0.75
"127","5e9820b9c63c530008087a8c","Late","Exception",34,"Male",1.1784,0.6,0.866375,0.5
"128","5e9820b9c63c530008087a8c","Late","Prototype",34,"Male",1.10464615384615,0.738461538461539,0.758733333333333,1
"129","5e9820b9c63c530008087a8c","Late","RuleFollowing",34,"Male",1.06732352941176,0.617647058823529,0.8025,0.6875
"130","5e9c5de41672d018182aeb30","Early","Exception",22,"Female",1.10965714285714,0.542857142857143,1.15515384615385,0.769230769230769
"131","5e9c5de41672d018182aeb30","Early","Prototype",22,"Female",1.04722727272727,0.681818181818182,1.081625,1
"132","5e9c5de41672d018182aeb30","Early","RuleFollowing",22,"Female",1.00667647058824,0.705882352941177,0.966333333333333,0.666666666666667
"133","5e9eef4948a31e03b47334a6","Late","Exception",25,"Male",1.17314705882353,0.352941176470588,0.928533333333333,0.466666666666667
"134","5e9eef4948a31e03b47334a6","Late","Prototype",25,"Male",1.14676119402985,0.761194029850746,1.18106666666667,0.866666666666667
"135","5e9eef4948a31e03b47334a6","Late","RuleFollowing",25,"Male",1.16491176470588,0.647058823529412,1.24886666666667,0.8
"136","5e9f58de6ecd090f0a2805d4","Late","Exception",21,"Female",1.01055882352941,0.441176470588235,1.2078125,0.5625
"137","5e9f58de6ecd090f0a2805d4","Late","Prototype",21,"Female",0.963298507462687,0.850746268656716,1.164875,0.625
"138","5e9f58de6ecd090f0a2805d4","Late","RuleFollowing",21,"Female",0.963914285714286,0.771428571428571,1.3035625,0.8125
"139","5ea96851a879f0059741c4cb","Late","Exception",19,"Female",0.742583333333333,0.277777777777778,0.7531875,0.125
"140","5ea96851a879f0059741c4cb","Late","Prototype",19,"Female",0.7331,0.814285714285714,0.698466666666667,0.866666666666667
"141","5ea96851a879f0059741c4cb","Late","RuleFollowing",19,"Female",0.759777777777778,0.527777777777778,0.81775,0.4375
"142","5eacc5d65753b3341a0f9d0e","Late","Exception",32,"Male",0.950212121212121,0.393939393939394,0.8514375,0.4375
"143","5eacc5d65753b3341a0f9d0e","Late","Prototype",32,"Male",0.901846153846154,0.861538461538462,0.677375,1
"144","5eacc5d65753b3341a0f9d0e","Late","RuleFollowing",32,"Male",0.953235294117647,0.735294117647059,0.7711875,0.75
